RT_ID,SN_B,SN_E,STOP_CD_B,STOP_CD_E,DIST,LMT_SPD
VBITPD-NA2,1,42,BALBO1A,PADON  ,439600,40
VBIVCV-NA1,1,18,BALBO1A,CRUVHVA,50329,60
VBI9ER-NA2,1,22,BALBO1A,ESTAPAA,121306,40
VBIACCE-N2,1,4,BALBO1A,BVVCS2A,3664,40
VBIACET-N1,1,4,BALBO1A,COEST1A,1643,60
VBICSAL-N1,1,15,BALBO1A,ALBROCA,132650,40
VBICSA2-N1,1,12,BALBO1A,AMELI3A,91758,40
VBICSA3-N1,1,15,BALBO1A,ADETM2A,123164,60
VBICSCN-P1,1,13,BALBO1A,CVANA2A,98341,60
VBICSC5-N1,1,7,BALBO1A,HSBCL3A,34207,60
VBICSEM-N1,1,12,BALBO1A,ESTAMAA,89063,40
VBICSE3-N1,1,16,BALBO1A,ESTICAA,134650,40
VACXAZ-NA2,1,22,ESTAN1A,EALCDIA,109021,30
VACXBN-NA2,1,39,ESTAN1A,DONBN2A,369634,60
VAENAL-NA1,1,5,ESTAN2A,ALBROCA,22295,40
VAMZEA-NA2,1,2,AMANE2A,AMANE1A,46,40
VAM0AZ-NA2,1,14,AMANE2A,EALCDIA,35418,30
VAM0BN-NA2,1,31,AMANE2A,DONBN2A,207903,60
VAM0CH-NA2,1,49,AMANE2A,CHAGR1A,549319,60
VBI9PG-NA2,1,29,BALBO1A,PAGMN1A,214095,50
VBI9P2-NA2,1,28,BALBO1A,ESTAPEA,186820,40
VBI9P6-NA2,1,29,BALBO1A,PREAL2A,199947,50
VBICSL2-P1,1,13,BALBO1A,LPAVA2A,98764,60
VBICSMC-N1,1,12,BALBO1A,MERMACA,89076,60
VBICSPC-N1,1,12,BALBO1A,PACHO  ,93206,40
VBICSPH-N1,1,13,BALBO1A,PACUR  ,106761,40
VBICSPT-N1,1,6,BALBO1A,PAICT1A,24042,60
VBICSPU-N1,1,8,BALBO1A,URRACCA,43615,60
TOMAL-I,1,71,ESTASIB,ALBROCB,1184029,40
VAENC5-NA1,1,8,ESTAN2A,HSBCL3A,57457,60
VAENM1-NA2,1,10,ESTAN2A,MANOP1A,26245,40
VAENPC-NA1,1,6,ESTAN2A,PACHO  ,40796,40
VAENPH-NA1,1,5,ESTAN2A,PACUR  ,19431,40
VAENST-NA2,1,14,ESTAN2A,ESTASLA,44524,40
VAENS1-NA2,1,8,ESTAN2A,ETAP11A,16988,40
VAENTE-NA2,1,13,ESTAN2A,ESTATCA,41271,40
VAENVV-NA1,1,6,ESTAN2A,VVETK2A,32293,60
VAERAC-NA2,1,2,ESTAN2A,ESTAN1A,933,60
VAERLA-NA2,1,2,ESTAN2A,ANDESLA,648,30
VAERPB-NA2,1,18,ESTAN2A,PACAB  ,74860,40
VBIDCCA-N2,1,35,BALBO1A,PENAB1A,305764,40
VBIDDE1-P2,1,11,BALBO1A,ESTLP2A,35976,40
VBIDDLR-P2,1,11,BALBO1A,PUEBL4A,36004,60
VANAL-I,1,19,VALLE1A,ALBROCG,194570,40
VBI9SI-NA2,1,27,BALBO1A,YSAJO1A,175037,40
VBNFST-NA2,1,42,DONBN1A,ESTASLA,403491,40
TOMAL-R,1,76,ALBROCB,ESTASIB,1558281,40
VAERPF-NA2,1,10,ESTAN2A,PBAVE1A,31904,40
VAERPO-NA2,1,3,ESTAN2A,PAOJO  ,1662,40
VAERPS-NA2,1,4,ESTAN2A,VPESA1A,4668,30
VAERSB-NA2,1,7,ESTAN2A,ESTSI2A,7832,60
VAERVE-NA2,1,3,ESTAN2A,VERAN3A,2302,40
VAERVR-NA2,1,10,ESTAN2A,VILRICA,21414,40
VBIDDPP-N2,1,11,BALBO1A,PAPUE  ,35766,40
VBIDD99-N2,1,10,BALBO1A,SSMTM3A,21651,50
VBIDPPD-N2,1,42,BALBO1A,PADON  ,439600,40
VANAL-R,1,24,ALBROCG,VALLE2A,286003,30
VA2LED-NA1,1,3,AMELI3A,DORAD1A,12222,60
VA22AL-NA1,1,3,AMELI3A,ALBROCA,6825,40
VA22EM-NA1,1,3,AMELI3A,ESTAMAA,6443,40
VA22PC-NA1,1,2,AMELI3A,PACHO  ,577,40
VA22PH-NA1,1,3,AMELI3A,PACUR  ,7843,40
VA4KPC-NA1,1,6,ADETM1A,PACHO  ,11890,40
VA4MPH-NA1,1,7,ADETM1A,PACUR  ,14883,40
VA4NPB-NA2,1,18,ADETM1A,PACAB  ,200572,40
VA4NPO-NA2,1,5,ADETM1A,PAOJO  ,27922,40
VA4NPP-NA2,1,6,ADETM1A,PAPUE  ,64454,40
VBN3LA-NA2,1,40,DONBN1A,ANDESLA,356823,30
VBN3PO-NA2,1,40,DONBN1A,PAOJO  ,356260,40
VBN3SB-NA2,1,39,DONBN1A,ESTSI2A,341175,60
TOMCS-I,1,61,ESTASIB,VVETK1A,859894,60
VBIJACU-N2,1,25,BALBO1A,CIRCU2A,159399,40
VBIJAC1-P2,1,19,BALBO1A,CONCE1A,94071,40
VBIJADB-N2,1,22,BALBO1A,CAL1C1A,124219,40
VALICV-NA1,1,4,ALBROCA,CRUVHVA,26460,60
VALIE3-NA1,1,7,ALBROCA,ESTICAA,57306,40
VALIE4-NA1,1,4,ALBROCA,ESTVARA,26050,40
VALIPU-NA1,1,5,ALBROCA,URRACCA,34831,60
VALKVV-NA1,1,6,ALBROCA,VVETK2A,33278,60
VA4NSB-NA2,1,6,ADETM1A,ESTSI2A,37046,60
VA4SBV-NA2,1,10,ADETM1A,BVVCS1A,43551,40
VA4SCE-NA2,1,11,ADETM1A,BVVCS2A,55899,40
VA4SPD-NA2,1,28,ADETM1A,PADON  ,532429,40
VBADVL-NA2,1,16,PAETM1A,VERDB2A,89752,40
VBAJP2-NA2,1,9,PAETM1A,ESTAPEA,32839,40
VBASEM-PT1,1,14,PAETM1A,ESTAMAA,188999,40
VBRSA3-PT1,1,16,BALBO2A,ADETM2A,133874,60
VBRSCN-PT1,1,14,BALBO2A,CVANA2A,107623,60
VBRSC5-PT1,1,8,BALBO2A,HSBCL3A,39205,60
VBRSEM-PT1,1,13,BALBO2A,ESTAMAA,97631,40
VBRSMC-PT1,1,13,BALBO2A,MERMACA,97644,60
VBRSPC-PT1,1,13,BALBO2A,PACHO  ,101774,40
VBRSPH-PT1,1,14,BALBO2A,PACUR  ,116043,40
VBRSVV-PT1,1,10,BALBO2A,VVETK2A,64111,60
TOMCS-R,1,64,VVETK2A,ESTASIB,975918,40
TOMMA-I,1,69,ESTASIB,ESTAMAO,1113458,40
VALLED-NA1,1,2,ALBROCA,DORAD1A,9434,60
VALLPH-NA1,1,4,ALBROCA,PACUR  ,17202,40
VALNAC-NA2,1,5,ALBROCA,ESTAN1A,62357,60
VALNAZ-NA2,1,20,ALBROCA,EALCDIA,369753,30
VALNCH-NA2,1,23,ALBROCA,CHAGR1A,701064,60
VALNCR-NA2,1,16,ALBROCA,CABTK2A,275417,60
VALNEA-NA2,1,27,ALBROCA,AMANE1A,546748,40
VBASPC-PT1,1,14,PAETM1A,PACHO  ,193142,40
VBASPH-PT1,1,14,PAETM1A,PACUR  ,193839,40
VBATLR-NA2,1,6,PAETM1A,PUEBL4A,7136,60
VBATPP-NA2,1,12,PAETM1A,PAPUE  ,33853,40
VBAUCP-NA2,1,5,PAETM1A,CPRAD1A,15633,30
VBAUXA-NA2,1,2,PAETM1A,139TM2A,3186,40
VBIDE1-NA2,1,11,BALBO1A,ESTLP2A,35976,40
VBIDLR-NA2,1,11,BALBO1A,PUEBL4A,36004,60
VBNFV1-NA2,1,32,DONBN1A,VALLE1A,227291,30
VBN0AZ-NA2,1,21,DONBN1A,EALCDIA,91061,30
TOMMA-R,1,72,ESTAMAO,ESTASIB,1151048,40
VALNEC-NA2,1,17,ALBROCA,ESTACAA,297770,40
VALNER-NA2,1,11,ALBROCA,ESTAPAA,260335,40
VALNLA-NA2,1,4,ALBROCA,ANDESLA,46349,30
VALNLR-NA2,1,5,ALBROCA,PUEBL4A,88664,60
VALNM1-NA2,1,9,ALBROCA,MANOP1A,139826,40
VALNPB-NA2,1,17,ALBROCA,PACAB  ,297840,40
VALNPN-NA2,1,5,ALBROCA,POLIC1A,65456,30
VALNPO-NA2,1,4,ALBROCA,PAOJO  ,45786,40
VBIDPP-NA2,1,11,BALBO1A,PAPUE  ,35766,40
VBID99-NA2,1,10,BALBO1A,SSMTM3A,21651,50
VBIGBV-NA2,1,4,BALBO1A,BVVCS1A,4096,40
VBIGCE-NA2,1,4,BALBO1A,BVVCS2A,3664,40
VBIGET-NA1,1,4,BALBO1A,COEST1A,1643,60
VBIJCP-NA2,1,23,BALBO1A,CPRAD1A,134951,30
VBIJCU-NA2,1,25,BALBO1A,CIRCU2A,159399,40
VBRDE1-NA2,1,12,BALBO2A,ESTLP2A,43830,40
VBRDPP-NA2,1,12,BALBO2A,PAPUE  ,43620,40
VBRD99-NA2,1,11,BALBO2A,SSMTM3A,28791,50
VBRGBV-NA2,1,5,BALBO2A,BVVCS1A,6952,40
VBRGCE-NA2,1,5,BALBO2A,BVVCS2A,6520,40
VBRGET-NA1,1,5,BALBO2A,COEST1A,4499,60
TOSAL-I,1,40,ESTASIA,ALBROCE,557877,40
TOSAL-R,1,38,ALBROCE,ESTASIA,894873,40
VALNPP-NA2,1,5,ALBROCA,PAPUE  ,88426,40
VALNPS-NA2,1,7,ALBROCA,VPESA1A,97467,30
VALNP2-NA2,1,17,ALBROCA,ESTAPEA,445249,40
VALNP7-NA2,1,5,ALBROCA,POLSI2A,65854,30
VALNSB-NA2,1,5,ALBROCA,ESTSI2A,61018,60
VALNSI-NA2,1,15,ALBROCA,YSAJO1A,391165,40
VALNST-NA2,1,13,ALBROCA,ESTASLA,215947,40
VALNS1-NA2,1,6,ALBROCA,ETAP11A,83648,40
VALNTE-NA2,1,14,ALBROCA,ESTATCA,236291,40
VBIJC1-NA2,1,19,BALBO1A,CONCE1A,94071,40
VBIJDB-NA2,1,22,BALBO1A,CAL1C1A,124219,40
VBIJDI-NA2,1,41,BALBO1A,PARED2A,419740,60
VBRTPD-NA2,1,41,BALBO2A,PADON  ,378497,40
VBRVCV-NA1,1,19,BALBO2A,CRUVHVA,63181,60
VBR9ER-NA2,1,21,BALBO2A,ESTAPAA,90023,40
TOSCO-I,1,33,ESTASIA,BVVCS2A,287656,40
TOSCO-R,1,27,BVVCS2A,ESTASIA,425532,40
TOSMA-I,1,36,ESTASIA,ESTAMAC,423451,40
VALNTR-NA2,1,16,ALBROCA,TTOTC1A,278158,40
VALNVE-NA2,1,6,ALBROCA,VERAN3A,79446,40
VALNV1-NA2,1,8,ALBROCA,VALLE1A,116568,30
VALOEM-NA1,1,5,ALBROCA,ESTAMAA,16591,40
VALOMC-NA1,1,4,ALBROCA,MERMACA,11741,60
VALSBV-NA2,1,11,ALBROCA,BVVCS1A,74398,40
VALSCA-NA2,1,22,ALBROCA,PENAB1A,377293,40
VALSCE-NA2,1,12,ALBROCA,BVVCS2A,89598,40
VBIJDO-NA2,1,45,BALBO1A,ESTA24A,502838,60
VBIJDR-NA2,1,42,BALBO1A,PARED1A,440135,60
VBN0BN-NA2,1,2,DONBN1A,DONBN2A,3315,60
VBN0EA-NA2,1,32,DONBN1A,AMANE1A,220278,40
VBN0EC-NA2,1,22,DONBN1A,ESTACAA,101483,40
VBN0PB-NA2,1,23,DONBN1A,PACAB  ,111859,40
TOSMA-R,1,34,ESTAMAC,ESTASIA,696716,40
TOVMA-I,1,80,ESTASIC,ESTAMAL,1288762,40
VEVAL-DI,1,46,VERAN3A,ALBROCD,337703,40
VALSCP-CR2,1,26,ALBROCA,CPRAD1A,431574,30
VALSDB-CR2,1,27,ALBROCA,CAL1C1A,457554,40
VALSDR-NA2,1,29,ALBROCA,PARED1A,615147,60
VALSEB-NA2,1,17,ALBROCA,ETBVE1A,177285,60
VBIJDX-NA2,1,43,BALBO1A,ESTADAA,461381,60
VBIJEB-NA2,1,3,BALBO1A,ETBVE1A,3625,60
VBIJEL-NA2,1,2,BALBO1A,ETBVE2A,1463,40
VBIJES-NA2,1,49,BALBO1A,ESTASIA,583617,40
VBRJC1-NA2,1,18,BALBO2A,CONCE1A,67261,40
VBRJDB-NA2,1,21,BALBO2A,CAL1C1A,92936,40
VBRJEB-NA2,1,2,BALBO2A,ETBVE1A,747,60
VBRJEL-NA2,1,2,BALBO2A,ETBVE2A,48,40
VBRJSP-NA2,1,10,BALBO2A,AVE3CSA,20870,40
VBRSAL-PT1,1,16,BALBO2A,ALBROCA,143360,40
VBICSVV-N1,1,9,BALBO1A,VVETK2A,57685,60
TOVAL-I,1,82,ESTASIC,ALBROCA,1355209,40
TOVEC-I,1,72,ESTASIC,ESTICAA,1052175,40
VALSES-NA2,1,36,ALBROCA,ESTASIA,856032,40
VALSJV-CR2,1,28,ALBROCA,JJVAL1A,488994,60
VALSMX-NA2,1,23,ALBROCA,MAINT1A,408597,40
VBIJJV-NA2,1,21,BALBO1A,JJVAL1A,115150,60
VBIJJ2-NA2,1,15,BALBO1A,ESTAD2A,62719,40
VBR9P2-NA2,1,27,BALBO2A,ESTAPEA,146591,40
VBR9SI-NA2,1,26,BALBO2A,YSAJO1A,136299,40
VCAAP2-NA2,1,13,PENAB1A,ESTAPEA,29489,40
VBIJADI-P2,1,41,BALBO1A,PARED2A,419740,60
VALSNI-NA2,1,34,ALBROCA,NVAES1A,805071,60
VALSPD-NA2,1,29,ALBROCA,PADON  ,614612,40
VALSP6-NA2,1,23,ALBROCA,PREAL2A,415792,50
VBIJMX-NA2,1,34,BALBO1A,MAINT1A,288654,40
VBIJNI-NA2,1,47,BALBO1A,NVAES1A,557364,60
VBN3AE-NA2,1,42,DONBN1A,ESTAN2A,392968,60
TOVEC-R,1,69,HSBCL3A,ESTASIC,1004552,40
VALSSP-LB2,1,13,ALBROCA,AVE3CSA,114596,40
VALSVL-CR2,1,15,ALBROCA,VERDB2A,158890,40
VAL2A2-NA1,1,7,ALBROCA,AMELI3A,23899,40
VAL2PC-NA1,1,8,ALBROCA,PACHO  ,29664,40
VAMFST-NA2,1,31,AMANE2A,ESTASLA,202094,40
VBIJP4-NA2,1,56,BALBO1A,PPAPC1A,814183,40
VBIJSP-NA2,1,11,BALBO1A,AVE3CSA,35752,40
VBIJTO-NA2,1,37,BALBO1A,CRUCE1A,343625,50
TCMMA-R,1,54,ESTAMAP,TORCA2A,547575,40
VAMFV1-NA2,1,21,AMANE2A,VALLE1A,86594,30
VAMNAL-NA1,1,28,AMANE2A,ALBROCA,172430,40
VBIJVL-NA2,1,23,BALBO1A,VERDB2A,135849,40
TCNAL-I,1,16,ESTATCD,ALBROCG,193863,40
TCNAL-R,1,26,ALBROCG,TORCA2A,330168,40
VBIJACP-N2,1,23,BALBO1A,CPRAD1A,134951,30
UDFAL,1,4,ALBROCD,ALBROCD,14645,40
VACFV1-NA2,1,9,ESTAN1A,VALLE1A,18083,30
VACNEM-NA1,1,13,ESTAN1A,ESTAMAA,131527,40
VCX599-NA2,1,34,PENAB2A,SSMTM3A,288488,50
VCX7ER-NA2,1,16,PENAB2A,ESTAPAA,47933,40
VCX7PP-NA2,1,25,PENAB2A,PAPUE  ,149326,40
VC1DPP-NA2,1,11,CONCE1A,PAPUE  ,34355,40
VC1JDB-NA2,1,6,CONCE1A,CAL1C1A,11204,40
VDYIPT-NA1,1,17,DORTM2A,PAICT1A,94528,60
VDYLAL-NA1,1,3,DORTM2A,ALBROCA,9465,40
VDYLA2-NA1,1,4,DORTM2A,AMELI3A,19553,40
VDYLEM-NA1,1,12,DORTM2A,ESTAMAA,42397,40
VDYLMC-NA1,1,12,DORTM2A,MERMACA,42010,60
VDYLPC-NA1,1,4,DORTM2A,PACHO  ,20130,40
VDYLPH-NA1,1,3,DORTM2A,PACUR  ,6596,40
VDYMED-NA1,1,2,DORTM2A,DORAD1A,342,60
VDYME3-NA1,1,9,DORTM2A,ESTICAA,20560,40
VDYME4-NA1,1,10,DORTM2A,ESTVARA,19139,40
VD1DEL-NA2,1,17,CAL1C2A,ETBVE2A,91396,40
VEMAL-DR,1,39,ALBROCC,VERAN3A,559173,40
VEMCS-I,1,34,VERAN3A,VVETK1A,189472,60
VEMCS-R,1,35,VVETK2A,VERAN3A,238388,40
VCH0AZ-NA2,1,40,CHAGR2A,EALCDIA,505290,30
VCH0EA-NA2,1,51,CHAGR2A,AMANE1A,777254,40
VCH0EC-NA2,1,41,CHAGR2A,ESTACAA,528689,40
VC1JEB-NA2,1,18,CONCE1A,ETBVE1A,66430,60
VC1JER-NA2,1,5,CONCE1A,ESTAPAA,6501,40
VC1JJ2-NA2,1,6,CONCE1A,ESTAD2A,9068,40
VC1JSP-NA2,1,8,CONCE1A,AVE3CSA,18186,40
VC1SBV-NA2,1,9,CONCE1A,BVVCS1A,32246,40
VC1SCE-NA2,1,9,CONCE1A,BVVCS2A,31727,40
VC1SPC-PT1,1,17,CONCE1A,PACHO  ,174194,40
VC1SPH-PT1,1,18,CONCE1A,PACUR  ,194415,40
VD1DER-NA2,1,5,CAL1C2A,ESTAPAA,6245,40
VD1DE1-NA2,1,8,CAL1C2A,ESTLP2A,19134,40
VD1DPP-NA2,1,14,CAL1C2A,PAPUE  ,61422,40
VD1DSP-NA2,1,11,CAL1C2A,AVE3CSA,39031,40
VD1D99-NA2,1,22,CAL1C2A,SSMTM3A,149204,50
VD1SBV-NA2,1,11,CAL1C2A,BVVCS1A,53560,40
VD1SCE-NA2,1,11,CAL1C2A,BVVCS2A,53041,40
VD1SC5-PT1,1,15,CAL1C2A,HSBCL3A,129076,60
VEMKE3-NA1,1,6,ESTAMAA,ESTICAA,22628,40
VEMKE4-NA1,1,8,ESTAMAA,ESTVARA,29610,40
VA4CSPD-P2,1,28,ADETM1A,PADON  ,532429,40
VA4TMPH-N1,1,7,ADETM1A,PACUR  ,14883,40
VEMLED-NA1,1,3,ESTAMAA,DORAD1A,10504,60
VEMMMS-NA2,1,21,ESTAMAA,MASMITA,134581,60
VEMNAC-NA2,1,6,ESTAMAA,ESTAN1A,63962,60
VEMNEC-NA2,1,18,ESTAMAA,ESTACAA,301343,40
VCH0PB-NA2,1,41,CHAGR2A,PACAB  ,528891,40
VCH3CR-NA2,1,43,CHAGR2A,CABTK2A,576378,60
VC1TPD-NA2,1,28,CONCE1A,PADON  ,185131,40
VC19P2-NA2,1,14,CONCE1A,ESTAPEA,33319,40
VC3DER-NA2,1,4,CPRAD2A,ESTAPAA,4227,40
VC3DLR-NA2,1,7,CPRAD2A,PUEBL4A,15663,60
VC3DPP-NA2,1,13,CPRAD2A,PAPUE  ,52043,40
VC3DXA-NA2,1,4,CPRAD2A,139TM2A,5040,40
VD1SEM-PT1,1,19,CAL1C2A,ESTAMAA,210933,40
VD1SMC-PT1,1,19,CAL1C2A,MERMACA,210946,60
VD1SPC-PT1,1,19,CAL1C2A,PACHO  ,215076,40
VD1SPH-PT1,1,19,CAL1C2A,PACUR  ,215773,40
VEMNPB-NA2,1,17,ESTAMAA,PACAB  ,293901,40
VEMNPN-NA2,1,5,ESTAMAA,POLIC1A,49506,30
VEMNPO-NA2,1,5,ESTAMAA,PAOJO  ,47227,40
VEMNP2-NA2,1,16,ESTAMAA,ESTAPEA,392340,40
VEMNSB-NA2,1,6,ESTAMAA,ESTSI2A,62623,60
VEMNVE-NA2,1,7,ESTAMAA,VERAN3A,81215,40
VEMOAL-NA1,1,3,ESTAMAA,ALBROCA,4981,40
VEMOA2-NA1,1,2,ESTAMAA,AMELI3A,2559,40
VEMOMC-NA1,1,2,ESTAMAA,MERMACA,558,60
VEMOPH-NA1,1,3,ESTAMAA,PACUR  ,3513,40
VEMSCE-NA2,1,14,ESTAMAA,BVVCS2A,82626,40
VEMSCP-CR2,1,23,ESTAMAA,CPRAD1A,297150,30
VCH3PO-NA2,1,59,CHAGR2A,PAOJO  ,1017052,40
VC3SAL-PT1,1,27,CPRAD2A,ALBROCA,297478,40
VC3SBV-NA2,1,16,CPRAD2A,BVVCS1A,64903,40
VC3SCE-NA2,1,16,CPRAD2A,BVVCS2A,64384,40
VC3SEM-PT1,1,24,CPRAD2A,ESTAMAA,225388,40
VC3SPC-PT1,1,24,CPRAD2A,PACHO  ,229531,40
VD1SVV-PT1,1,16,CAL1C2A,VVETK2A,150464,60
VD1TCA-NA2,1,15,CAL1C2A,PENAB1A,52165,40
VD1TDO-NA2,1,25,CAL1C2A,ESTA24A,149109,60
VD1TPD-NA2,1,22,CAL1C2A,PADON  ,115910,40
VEMSDR-NA2,1,27,ESTAMAA,PARED1A,488220,60
VEMSER-CR2,1,22,ESTAMAA,ESTAPAA,261113,40
VEMSES-NA2,1,34,ESTAMAA,ESTASIA,696716,40
VCH3SB-NA2,1,58,CHAGR2A,ESTSI2A,988990,60
VCINAL-NA1,1,17,CABTK1A,ALBROCA,78370,40
VC3SPH-PT1,1,25,CPRAD2A,PACUR  ,252587,40
VC3SPU-PT1,1,20,CPRAD2A,URRACCA,141936,60
VC3TMX-NA2,1,13,CPRAD2A,MAINT1A,39360,40
VC3TPD-NA2,1,21,CPRAD2A,PADON  ,106690,40
VD1UC1-NA2,1,11,CAL1C2A,CONCE1A,30258,40
VD1UEB-NA2,1,25,CAL1C2A,ETBVE1A,142374,60
VD1WP2-NA2,1,11,CAL1C2A,ESTAPEA,30740,40
VD1WSI-NA2,1,11,CAL1C2A,YSAJO1A,30403,40
VD1ZDB-NA2,1,2,CAL1C2A,CAL1C1A,949,40
VD2BDI-NA2,1,4,24DDI2A,PARED2A,1384,60
VD2BDO-NA2,1,8,24DDI2A,ESTA24A,9206,60
VEMSJV-CR2,1,21,ESTAMAA,JJVAL1A,244567,60
VEMSLR-LB2,1,14,ESTAMAA,PUEBL4A,114220,60
VEMSMX-NA2,1,19,ESTAMAA,MAINT1A,255923,40
VEMSNI-NA2,1,32,ESTAMAA,NVAES1A,655009,60
VCIRAZ-NA2,1,6,CABTK1A,EALCDIA,12471,30
VCIRCR-NA2,1,2,CABTK1A,CABTK2A,1251,60
VCIREA-NA2,1,13,CABTK1A,AMANE1A,44013,40
VCIRPB-NA2,1,3,CABTK1A,PACAB  ,2895,40
VCIXCH-NA2,1,45,CABTK1A,CHAGR1A,571289,60
VC3TP4-NA2,1,35,CPRAD2A,PPAPC1A,334945,40
VC3WP2-NA2,1,10,CPRAD2A,ESTAPEA,25566,40
VC3WP6-NA2,1,11,CPRAD2A,PREAL2A,31296,50
VC3ZCP-NA2,1,2,CPRAD2A,CPRAD1A,434,30
VD2BPD-NA2,1,5,24DDI2A,PADON  ,2425,40
VD2ECA-NA2,1,6,24DDI2A,PENAB1A,10719,40
VD2EPG-NA2,1,11,24DDI2A,PAGMN1A,31895,50
VD2SBV-NA2,1,23,24DDI2A,BVVCS1A,145584,40
VD2SCE-NA2,1,23,24DDI2A,BVVCS2A,145065,40
VD2SC5-PT1,1,29,24DDI2A,HSBCL3A,315781,60
VEPNPH-NA1,1,7,PODERTA,PACUR  ,27273,40
VEPPAE-NA2,1,18,PODERTA,ESTAN2A,50195,60
VEPPAZ-NA2,1,24,PODERTA,EALCDIA,117436,30
VEPPBN-NA2,1,41,PODERTA,DONBN2A,388929,60
VCNCC5-NA1,1,3,CEVTM1A,HSBCL3A,2418,60
VCNKAL-NA1,1,6,CEVTM1A,ALBROCA,15064,40
VCNKPC-NA1,1,5,CEVTM1A,PACHO  ,13032,40
VCNKPH-NA1,1,5,CEVTM1A,PACUR  ,9772,40
VCNMVV-NA1,1,4,CEVTM1A,VVETK2A,4678,60
VCNNAC-NA2,1,8,CEVTM1A,ESTAN1A,44921,60
VCNNAZ-NA2,1,22,CEVTM1A,EALCDIA,275967,30
VCNNEC-NA2,1,20,CEVTM1A,ESTACAA,219662,40
VC3ZVL-NA2,1,12,CPRAD2A,VERDB2A,26343,40
VC4DPP-NA2,1,13,CA1CS1A,PAPUE  ,41190,40
VC4D99-NA2,1,26,CA1CS1A,SSMTM3A,141536,50
VC4JDB-NA2,1,7,CA1CS1A,CAL1C1A,7136,40
VC4JEB-NA2,1,17,CA1CS1A,ETBVE1A,58756,60
VC4JER-NA2,1,7,CA1CS1A,ESTAPAA,4223,40
VD2SEM-PT1,1,31,24DDI2A,ESTAMAA,376749,40
VD2SPC-PT1,1,31,24DDI2A,PACHO  ,380892,40
VD2SPH-PT1,1,31,24DDI2A,PACUR  ,381589,40
VERDEL-NA2,1,14,ESTAPAA,ETBVE2A,58060,40
VERDE1-NA2,1,5,ESTAPAA,ESTLP2A,7943,40
VERDLR-NA2,1,5,ESTAPAA,PUEBL4A,9086,60
VERDPP-NA2,1,11,ESTAPAA,PAPUE  ,36498,40
VERD99-NA2,1,21,ESTAPAA,SSMTM3A,124712,50
VERJSP-NA2,1,13,ESTAPAA,AVE3CSA,37329,40
VERNAL-NA1,1,9,ESTAPAA,ALBROCA,63335,40
VERSBV-NA2,1,15,ESTAPAA,BVVCS1A,68970,40
VCNNM1-NA2,1,12,CEVTM1A,MANOP1A,102166,40
VCNNPB-NA2,1,19,CEVTM1A,PACAB  ,217440,40
VCNNPN-NA2,1,7,CEVTM1A,POLIC1A,35685,30
VCNNPO-NA2,1,7,CEVTM1A,PAOJO  ,33406,40
VCNNPS-NA2,1,10,CEVTM1A,VPESA1A,69919,30
VCNNSB-NA2,1,7,CEVTM1A,ESTSI2A,34162,60
VCNNST-NA2,1,16,CEVTM1A,ESTASLA,158063,40
VC4JJ2-NA2,1,5,CA1CS1A,ESTAD2A,6626,40
VC4JSP-NA2,1,8,CA1CS1A,AVE3CSA,15134,40
VC4SAL-PT1,1,21,CA1CS1A,ALBROCA,236199,40
VC4SBV-PT2,1,10,CA1CS1A,BVVCS1A,38119,40
VC4SCE-PT2,1,11,CA1CS1A,BVVCS2A,41005,40
VC4SPC-PT1,1,19,CA1CS1A,PACHO  ,191168,40
VC4SPH-PT1,1,20,CA1CS1A,PACUR  ,212351,40
VD2TNI-NA2,1,10,24DDI2A,NVAES1A,26094,60
VD25DB-NA2,1,25,24DDI2A,CAL1C1A,147465,40
VD25E1-NA2,1,27,24DDI2A,ESTLP2A,162395,40
VEMSPD-NA2,1,27,ESTAMAA,PADON  ,487685,40
VEMSPP-LB2,1,14,ESTAMAA,PAPUE  ,114387,40
VEMSP4-NA2,1,41,ESTAMAA,PPAPC1A,1001036,40
VCNNS1-NA2,1,8,CEVTM1A,ETAP11A,48821,40
VCNNTE-NA2,1,17,CEVTM1A,ESTATCA,173567,40
VCNNVE-NA2,1,9,CEVTM1A,VERAN3A,56954,40
VCNNV1-NA2,1,9,CEVTM1A,VALLE1A,62881,30
VCNSBV-NA2,1,9,CEVTM1A,BVVCS1A,36120,40
VCNSCA-NA2,1,20,CEVTM1A,PENAB1A,297391,40
VCNSCE-NA2,1,10,CEVTM1A,BVVCS2A,47536,40
VCNSC1-CR2,1,16,CEVTM1A,CONCE1A,165570,40
VC4TPD-NA2,1,27,CA1CS1A,PADON  ,157757,40
VC4ZCU-NA2,1,9,CA1CS1A,CIRCU2A,17560,40
VC4ZC1-NA2,1,2,CA1CS1A,CONCE1A,926,40
VC49SI-NA2,1,13,CA1CS1A,YSAJO1A,19972,40
VDIBDO-NA2,1,5,PARED2A,ESTA24A,4458,60
VDIBDR-NA2,1,2,PARED2A,PARED1A,735,60
VDIBDX-NA2,1,5,PARED2A,ESTADAA,4862,60
VDIBNI-NA2,1,7,PARED2A,NVAES1A,19664,60
VDIBPD-NA2,1,2,PARED2A,PADON  ,200,40
VD25PP-NA2,1,33,24DDI2A,PAPUE  ,258413,40
VD2599-NA2,1,42,24DDI2A,SSMTM3A,438408,50
VEPPEC-NA2,1,21,PODERTA,ESTACAA,85107,40
VEPPLA-NA2,1,16,PODERTA,ANDESLA,39534,30
